block_no,time_from,time_to,scheduled_mw,p10_mw,p90_mw,conf_lower,conf_upper,uncertainty_mw,confidence,dsm_risk,deviation_pct
37,09:00,09:15,388.99,336.08,433.08,353.99,423.99,97.01,HIGH,LOW,0.0
38,09:15,09:30,391.29,335.83,437.51,356.29,426.29,101.69,HIGH,LOW,0.0
39,09:30,09:45,448.12,390.05,496.52,413.12,483.12,106.47,MEDIUM,LOW,0.0
40,09:45,10:00,495.49,434.79,546.08,460.49,530.49,111.28,MEDIUM,LOW,0.0
41,10:00,10:15,591.05,527.75,643.8,556.05,626.05,116.04,MEDIUM,LOW,0.0
42,10:15,10:30,560.06,494.23,614.91,525.06,595.06,120.67,MEDIUM,LOW,0.0
43,10:30,10:45,677.97,609.75,734.83,642.97,712.97,125.08,MEDIUM,LOW,0.0
44,10:45,11:00,691.19,620.73,749.9,656.19,726.19,129.18,MEDIUM,LOW,0.0
45,11:00,11:15,702.58,630.1,762.98,667.58,737.58,132.88,MEDIUM,LOW,0.0
46,11:15,11:30,747.52,673.28,809.38,712.52,782.52,136.1,MEDIUM,LOW,0.0
47,11:30,11:45,837.12,761.42,900.19,802.12,872.12,138.77,MEDIUM,LOW,0.0
48,11:45,12:00,691.62,614.8,755.63,656.62,726.62,140.83,MEDIUM,LOW,0.0
49,12:00,12:15,799.9,722.33,864.55,764.9,834.9,142.22,MEDIUM,LOW,0.0
50,12:15,12:30,752.15,674.19,817.11,717.15,787.15,142.92,MEDIUM,LOW,0.0
51,12:30,12:45,749.04,671.1,814.0,714.04,784.04,142.9,MEDIUM,LOW,0.0
52,12:45,13:00,712.11,634.56,776.73,677.11,747.11,142.18,MEDIUM,LOW,0.0
53,13:00,13:15,796.14,719.36,860.11,761.14,831.14,140.75,MEDIUM,LOW,0.0
54,13:15,13:30,737.75,662.11,800.78,702.75,772.75,138.67,MEDIUM,LOW,0.0
55,13:30,13:45,698.42,624.25,760.22,663.42,733.42,135.98,MEDIUM,LOW,0.0
56,13:45,14:00,680.87,608.47,741.2,645.87,715.87,132.73,MEDIUM,LOW,0.0
57,14:00,14:15,660.76,590.39,719.4,625.76,695.76,129.01,MEDIUM,LOW,0.0
58,14:15,14:30,555.25,487.12,612.02,520.25,590.25,124.9,MEDIUM,LOW,0.0
59,14:30,14:45,559.88,494.16,614.65,524.88,594.88,120.48,MEDIUM,LOW,0.0
60,14:45,15:00,514.54,451.35,567.2,479.54,549.54,115.85,MEDIUM,LOW,0.0
61,15:00,15:15,474.07,413.48,524.56,439.07,509.07,111.08,MEDIUM,LOW,0.0
62,15:15,15:30,418.72,360.76,467.03,383.72,453.72,106.27,MEDIUM,LOW,0.0
63,15:30,15:45,438.3,382.95,484.43,403.3,473.3,101.49,HIGH,LOW,0.0
64,15:45,16:00,338.66,285.85,382.67,303.66,373.66,96.81,HIGH,LOW,0.0
65,16:00,16:15,319.28,268.93,361.24,284.28,354.28,92.3,HIGH,LOW,0.0
66,16:15,16:30,265.05,217.05,305.06,230.05,300.05,88.01,HIGH,LOW,0.0
67,16:30,16:45,298.28,252.48,336.45,263.28,333.28,83.97,HIGH,LOW,0.0
68,16:45,17:00,212.17,168.41,248.64,177.17,247.17,80.22,HIGH,LOW,0.0
69,17:00,17:15,187.63,145.75,222.53,152.63,222.63,76.78,HIGH,LOW,0.0
70,17:15,17:30,140.67,100.5,174.16,105.67,175.67,73.66,HIGH,LOW,0.0
71,17:30,17:45,151.72,113.07,183.92,116.72,186.72,70.85,HIGH,LOW,0.0
72,17:45,18:00,119.03,81.75,150.11,84.03,154.03,68.36,HIGH,LOW,0.0
73,18:00,18:15,105.15,69.06,135.23,70.15,140.15,66.17,HIGH,LOW,0.0
74,18:15,18:30,84.45,49.4,113.66,49.45,119.45,64.26,HIGH,LOW,0.0
75,18:30,18:45,64.43,30.27,92.89,29.43,99.43,62.61,HIGH,LOW,0.0
76,18:45,19:00,59.51,26.12,87.33,24.51,94.51,61.21,HIGH,LOW,0.0
77,19:00,19:15,48.91,16.17,76.19,13.91,83.91,60.03,HIGH,LOW,0.0
78,19:15,19:30,36.48,4.28,63.31,1.48,71.48,59.03,HIGH,LOW,0.0
79,19:30,19:45,25.48,0.0,51.94,0.0,60.48,51.94,HIGH,LOW,0.0
80,19:45,20:00,22.84,0.0,48.99,0.0,57.84,48.99,HIGH,LOW,0.0
81,20:00,20:15,16.57,0.0,42.47,0.0,51.57,42.47,HIGH,LOW,0.0
82,20:15,20:30,13.23,0.0,38.93,0.0,48.23,38.93,HIGH,LOW,0.0
83,20:30,20:45,10.34,0.0,35.88,0.0,45.34,35.88,HIGH,LOW,0.0
84,20:45,21:00,8.54,0.0,33.95,0.0,43.54,33.95,HIGH,LOW,0.0
85,21:00,21:15,5.09,0.0,30.4,0.0,40.09,30.4,HIGH,LOW,0.0
86,21:15,21:30,3.97,0.0,29.2,0.0,38.97,29.2,HIGH,LOW,0.0
87,21:30,21:45,3.7,0.0,28.88,0.0,38.7,28.88,HIGH,LOW,0.0
88,21:45,22:00,2.4,0.0,27.53,0.0,37.4,27.53,HIGH,LOW,0.0
89,22:00,22:15,1.69,0.0,26.78,0.0,36.69,26.78,HIGH,LOW,0.0
90,22:15,22:30,1.37,0.0,26.44,0.0,36.37,26.44,HIGH,LOW,0.0
91,22:30,22:45,1.03,0.0,26.08,0.0,36.03,26.08,HIGH,LOW,0.0
92,22:45,23:00,0.74,0.0,25.78,0.0,35.74,25.78,HIGH,LOW,0.0
93,23:00,23:15,0.48,0.0,25.5,0.0,35.48,25.5,HIGH,LOW,0.0
94,23:15,23:30,0.28,0.0,25.29,0.0,35.28,25.29,HIGH,LOW,0.0
95,23:30,23:45,0.27,0.0,25.28,0.0,35.27,25.28,HIGH,LOW,0.0
96,23:45,00:00,0.2,0.0,25.21,0.0,35.2,25.21,HIGH,LOW,0.0
