block_no,time_from,time_to,scheduled_mw,p10_mw,p90_mw,conf_lower,conf_upper,uncertainty_mw,confidence,dsm_risk,deviation_pct
54,13:15,13:30,56.45,15.61,90.48,21.45,91.45,74.87,MEDIUM,LOW,0.0
55,13:30,13:45,115.69,63.48,159.2,80.69,150.69,95.72,MEDIUM,LOW,0.0
56,13:45,14:00,86.72,40.07,125.59,51.72,121.72,85.52,MEDIUM,LOW,0.0
57,14:00,14:15,94.05,45.99,134.09,59.05,129.05,88.1,MEDIUM,LOW,0.0
58,14:15,14:30,56.49,15.64,90.53,21.49,91.49,74.88,MEDIUM,LOW,0.0
59,14:30,14:45,124.33,70.46,169.22,89.33,159.33,98.76,MEDIUM,LOW,0.0
60,14:45,15:00,91.76,44.14,131.44,56.76,126.76,87.3,MEDIUM,LOW,0.0
61,15:00,15:15,106.05,55.69,148.02,71.05,141.05,92.33,MEDIUM,LOW,0.0
62,15:15,15:30,110.45,59.24,153.12,75.45,145.45,93.88,MEDIUM,LOW,0.0
63,15:30,15:45,79.74,34.43,117.5,44.74,114.74,83.07,MEDIUM,LOW,0.0
64,15:45,16:00,100.7,51.37,141.81,65.7,135.7,90.45,MEDIUM,LOW,0.0
65,16:00,16:15,56.84,15.93,90.94,21.84,91.84,75.01,MEDIUM,LOW,0.0
66,16:15,16:30,92.16,44.46,131.9,57.16,127.16,87.44,MEDIUM,LOW,0.0
67,16:30,16:45,64.93,22.46,100.32,29.93,99.93,77.86,MEDIUM,LOW,0.0
68,16:45,17:00,87.61,40.79,126.63,52.61,122.61,85.84,MEDIUM,LOW,0.0
69,17:00,17:15,100.75,51.41,141.87,65.75,135.75,90.46,MEDIUM,LOW,0.0
70,17:15,17:30,84.18,38.02,122.65,49.18,119.18,84.63,MEDIUM,LOW,0.0
71,17:30,17:45,63.92,21.65,99.15,28.92,98.92,77.5,MEDIUM,LOW,0.0
72,17:45,18:00,117.41,64.87,161.2,82.41,152.41,96.33,MEDIUM,LOW,0.0
73,18:00,18:15,69.43,26.1,105.54,34.43,104.43,79.44,MEDIUM,LOW,0.0
74,18:15,18:30,65.6,23.0,101.09,30.6,100.6,78.09,MEDIUM,LOW,0.0
75,18:30,18:45,93.49,45.54,133.45,58.49,128.49,87.91,MEDIUM,LOW,0.0
76,18:45,19:00,85.59,39.15,124.28,50.59,120.59,85.13,MEDIUM,LOW,0.0
77,19:00,19:15,101.17,51.75,142.36,66.17,136.17,90.61,MEDIUM,LOW,0.0
78,19:15,19:30,99.31,50.25,140.21,64.31,134.31,89.96,MEDIUM,LOW,0.0
79,19:30,19:45,92.6,44.82,132.42,57.6,127.6,87.6,MEDIUM,LOW,0.0
80,19:45,20:00,81.05,35.49,119.02,46.05,116.05,83.53,MEDIUM,LOW,0.0
81,20:00,20:15,113.08,61.37,156.17,78.08,148.08,94.8,MEDIUM,LOW,0.0
82,20:15,20:30,94.31,46.2,134.4,59.31,129.31,88.2,MEDIUM,LOW,0.0
83,20:30,20:45,90.11,42.81,129.53,55.11,125.11,86.72,MEDIUM,LOW,0.0
84,20:45,21:00,84.18,38.01,122.64,49.18,119.18,84.63,MEDIUM,LOW,0.0
85,21:00,21:15,78.46,33.4,116.01,43.46,113.46,82.62,MEDIUM,LOW,0.0
86,21:15,21:30,50.5,10.8,83.58,15.5,85.5,72.78,MEDIUM,LOW,0.0
87,21:30,21:45,58.83,17.53,93.24,23.83,93.83,75.71,MEDIUM,LOW,0.0
88,21:45,22:00,78.05,33.06,115.54,43.05,113.05,82.47,MEDIUM,LOW,0.0
89,22:00,22:15,83.66,37.59,122.04,48.66,118.66,84.45,MEDIUM,LOW,0.0
90,22:15,22:30,105.68,55.39,147.59,70.68,140.68,92.2,MEDIUM,LOW,0.0
91,22:30,22:45,52.97,12.8,86.45,17.97,87.97,73.65,MEDIUM,LOW,0.0
92,22:45,23:00,68.3,25.19,104.23,33.3,103.3,79.04,MEDIUM,LOW,0.0
93,23:00,23:15,33.43,0.0,63.78,0.0,68.43,63.78,MEDIUM,LOW,0.0
94,23:15,23:30,64.2,21.88,99.48,29.2,99.2,77.6,MEDIUM,LOW,0.0
95,23:30,23:45,64.28,21.93,99.56,29.28,99.28,77.62,MEDIUM,LOW,0.0
96,23:45,00:00,91.82,44.19,131.52,56.82,126.82,87.32,MEDIUM,LOW,0.0
