block_no,time_from,time_to,scheduled_mw,p10_mw,p90_mw,conf_lower,conf_upper,uncertainty_mw,confidence,dsm_risk,deviation_pct
26,06:15,06:30,87.75,43.71,124.46,52.75,122.75,80.74,MEDIUM,LOW,0.0
27,06:30,06:45,86.0,42.24,122.46,51.0,121.0,80.23,MEDIUM,LOW,0.0
28,06:45,07:00,72.47,30.88,107.14,37.47,107.47,76.26,MEDIUM,LOW,0.0
29,07:00,07:15,99.7,53.75,137.99,64.7,134.7,84.25,MEDIUM,LOW,0.0
30,07:15,07:30,102.39,56.01,141.04,67.39,137.39,85.03,MEDIUM,LOW,0.0
31,07:30,07:45,54.23,15.55,86.46,19.23,89.23,70.91,MEDIUM,LOW,0.0
32,07:45,08:00,113.85,65.64,154.03,78.85,148.85,88.4,MEDIUM,LOW,0.0
33,08:00,08:15,80.43,37.56,116.15,45.43,115.43,78.59,MEDIUM,LOW,0.0
34,08:15,08:30,74.3,32.41,109.2,39.3,109.3,76.79,MEDIUM,LOW,0.0
35,08:30,08:45,65.48,25.0,99.21,30.48,100.48,74.21,MEDIUM,LOW,0.0
36,08:45,09:00,79.43,36.72,115.02,44.43,114.43,78.3,MEDIUM,LOW,0.0
37,09:00,09:15,139.26,86.98,182.82,104.26,174.26,95.85,MEDIUM,LOW,0.0
38,09:15,09:30,129.62,78.88,171.9,94.62,164.62,93.02,MEDIUM,LOW,0.0
39,09:30,09:45,90.0,45.6,127.0,55.0,125.0,81.4,MEDIUM,LOW,0.0
40,09:45,10:00,96.05,50.68,133.86,61.05,131.05,83.18,MEDIUM,LOW,0.0
41,10:00,10:15,99.25,53.37,137.48,64.25,134.25,84.11,MEDIUM,LOW,0.0
42,10:15,10:30,124.64,74.7,166.26,89.64,159.64,91.56,MEDIUM,LOW,0.0
43,10:30,10:45,105.07,58.26,144.08,70.07,140.07,85.82,MEDIUM,LOW,0.0
44,10:45,11:00,103.84,57.23,142.69,68.84,138.84,85.46,MEDIUM,LOW,0.0
45,11:00,11:15,84.73,41.17,121.02,49.73,119.73,79.85,MEDIUM,LOW,0.0
46,11:15,11:30,133.43,82.08,176.22,98.43,168.43,94.14,MEDIUM,LOW,0.0
47,11:30,11:45,59.57,20.04,92.51,24.57,94.57,72.47,MEDIUM,LOW,0.0
48,11:45,12:00,143.32,90.38,187.42,108.32,178.32,97.04,MEDIUM,LOW,0.0
49,12:00,12:15,124.09,74.23,165.63,89.09,159.09,91.4,MEDIUM,LOW,0.0
50,12:15,12:30,71.63,30.17,106.18,36.63,106.63,76.01,MEDIUM,LOW,0.0
51,12:30,12:45,81.04,38.07,116.85,46.04,116.04,78.77,MEDIUM,LOW,0.0
52,12:45,13:00,103.85,57.24,142.7,68.85,138.85,85.46,MEDIUM,LOW,0.0
53,13:00,13:15,68.65,27.66,102.8,33.65,103.65,75.14,MEDIUM,LOW,0.0
54,13:15,13:30,97.76,52.12,135.79,62.76,132.76,83.68,MEDIUM,LOW,0.0
55,13:30,13:45,115.74,67.22,156.17,80.74,150.74,88.95,MEDIUM,LOW,0.0
56,13:45,14:00,132.45,81.26,175.12,97.45,167.45,93.85,MEDIUM,LOW,0.0
57,14:00,14:15,91.73,47.05,128.96,56.73,126.73,81.91,MEDIUM,LOW,0.0
58,14:15,14:30,70.35,29.09,104.73,35.35,105.35,75.64,MEDIUM,LOW,0.0
59,14:30,14:45,108.57,61.2,148.05,73.57,143.57,86.85,MEDIUM,LOW,0.0
60,14:45,15:00,127.21,76.86,169.18,92.21,162.21,92.32,MEDIUM,LOW,0.0
61,15:00,15:15,73.28,31.56,108.05,38.28,108.28,76.5,MEDIUM,LOW,0.0
62,15:15,15:30,83.99,40.55,120.19,48.99,118.99,79.64,MEDIUM,LOW,0.0
63,15:30,15:45,121.94,72.43,163.2,86.94,156.94,90.77,MEDIUM,LOW,0.0
64,15:45,16:00,105.64,58.73,144.72,70.64,140.64,85.99,MEDIUM,LOW,0.0
65,16:00,16:15,81.43,38.4,117.29,46.43,116.43,78.89,MEDIUM,LOW,0.0
66,16:15,16:30,66.0,25.44,99.8,31.0,101.0,74.36,MEDIUM,LOW,0.0
67,16:30,16:45,106.84,59.74,146.08,71.84,141.84,86.34,MEDIUM,LOW,0.0
68,16:45,17:00,69.32,28.23,103.56,34.32,104.32,75.33,MEDIUM,LOW,0.0
69,17:00,17:15,55.07,16.26,87.42,20.07,90.07,71.15,MEDIUM,LOW,0.0
70,17:15,17:30,124.7,74.75,166.33,89.7,159.7,91.58,MEDIUM,LOW,0.0
71,17:30,17:45,145.24,92.0,189.61,110.24,180.24,97.6,MEDIUM,LOW,0.0
72,17:45,18:00,75.28,33.24,110.32,40.28,110.28,77.08,MEDIUM,LOW,0.0
73,18:00,18:15,84.32,40.83,120.56,49.32,119.32,79.73,MEDIUM,LOW,0.0
74,18:15,18:30,79.89,37.1,115.54,44.89,114.89,78.43,MEDIUM,LOW,0.0
75,18:30,18:45,85.48,41.8,121.88,50.48,120.48,80.07,MEDIUM,LOW,0.0
76,18:45,19:00,91.89,47.18,129.14,56.89,126.89,81.95,MEDIUM,LOW,0.0
77,19:00,19:15,79.36,36.66,114.94,44.36,114.36,78.28,MEDIUM,LOW,0.0
78,19:15,19:30,81.85,38.75,117.76,46.85,116.85,79.01,MEDIUM,LOW,0.0
79,19:30,19:45,79.68,36.93,115.3,44.68,114.68,78.37,MEDIUM,LOW,0.0
80,19:45,20:00,127.46,77.06,169.45,92.46,162.46,92.39,MEDIUM,LOW,0.0
81,20:00,20:15,84.13,40.67,120.35,49.13,119.13,79.68,MEDIUM,LOW,0.0
82,20:15,20:30,91.32,46.71,128.5,56.32,126.32,81.79,MEDIUM,LOW,0.0
83,20:30,20:45,90.07,45.66,127.08,55.07,125.07,81.42,MEDIUM,LOW,0.0
84,20:45,21:00,89.43,45.12,126.36,54.43,124.43,81.23,MEDIUM,LOW,0.0
85,21:00,21:15,61.09,21.32,94.24,26.09,96.09,72.92,MEDIUM,LOW,0.0
86,21:15,21:30,102.47,56.07,141.13,67.47,137.47,85.06,MEDIUM,LOW,0.0
87,21:30,21:45,101.86,55.57,140.45,66.86,136.86,84.88,MEDIUM,LOW,0.0
88,21:45,22:00,114.31,66.02,154.55,79.31,149.31,88.53,MEDIUM,LOW,0.0
89,22:00,22:15,102.03,55.71,140.64,67.03,137.03,84.93,MEDIUM,LOW,0.0
90,22:15,22:30,122.7,73.07,164.06,87.7,157.7,90.99,MEDIUM,LOW,0.0
91,22:30,22:45,71.93,30.42,106.52,36.93,106.93,76.1,MEDIUM,LOW,0.0
92,22:45,23:00,83.48,40.13,119.62,48.48,118.48,79.49,MEDIUM,LOW,0.0
93,23:00,23:15,116.54,67.89,157.08,81.54,151.54,89.18,MEDIUM,LOW,0.0
94,23:15,23:30,94.38,49.28,131.96,59.38,129.38,82.68,MEDIUM,LOW,0.0
95,23:30,23:45,81.27,38.27,117.11,46.27,116.27,78.84,MEDIUM,LOW,0.0
96,23:45,00:00,91.34,46.72,128.51,56.34,126.34,81.79,MEDIUM,LOW,0.0
